parameter,value,min,max,unit
Tbase,10,6,13,°C
Topt,26,24,27,°C
Tmax,35,30,33,°C
Theat,40,33.5,45,°C
Tcold,0,0,5,°C
FIntMax,1,0.5,1.5,unitless
CycleLength,1500,1300,1700,degree days
TransplantingLag,10,5,15,%
FloweringLag,30,20,50,%
HalfIntGrowth,20,10,30,unitless
HalfIntSenescence,95,70,90,unitless
InitialInt,0.05,0.025,0.075,unitless
RUE,2.3,1,3,g MJ-1
KcIni,0.1,0.05,0.15,unitless
KcMax,1.5,0.75,1.5,unitless
RootIncrease,1,0.5,1.5,cm
RootDepthMax,60,50,100,cm
RootDepthInitial,6,2,6,cm
FieldCapacity,0.3,0.2,0.45,%
WiltingPoint,0.1,0.05,0.15,%
BulkDensity,1.2,0.6,1.8,t ha-1
WaterStressSensitivity,3,0.5,4.5,unitless
FloweringSlope,0.4,0.2,0.6,unitless
FloweringMax,80,40,90,unitless
k0,4,2,5,unitless
FruitWaterContentMin,0.6,0.8,0.85,%
FruitWaterContentMax,0.95,0.88,0.98,%
FruitWaterContentInc,0.1,0.005,0.015,unitless
FruitWaterContentDecreaseMax,0.001,0.015,0.01,%
