site,year,experiment,doy,,tMax,tMin,p,irrigation,gddRate,gddState,kc,et0,etR,rate,fruitsStateAct,rate carbon,state carbon,k,other compounds,dC/dt,FreshWeight,,,,,parameters,,,
Foggia,2005,1,161,1,20.4,8.9,0,0,4.02,451.05,0.546629679,2.813117191,1.537733347,2.026613859,2.026613859,0.891710098,0.891710098,1,0.891710098,0,2.251793177,,,,,gamma,0.44,gC gdw,
Foggia,2005,1,162,2,25.4,5.9,0,0,5.41,456.46,0.560381837,3.895435327,2.182931206,2.297791921,4.32440578,1.011028445,1.902738543,1,1.011028445,0,4.804895311,,,,,k0,1,d-1,1.134903761
Foggia,2005,1,163,3,28.6,8.7,0,0,9.74,466.2,0.583760759,4.676132453,2.729742632,6.273777361,10.59818314,2.760462039,4.663200582,1,2.760462039,0,11.77575904,,,,,epsilon,1.36,dimensionless,
Foggia,2005,1,164,4,28.4,11.4,0,17,11.43,477.63,0.609132294,4.626431478,2.818108817,9.829003169,20.42718631,4.324761394,8.987961976,1,4.324761394,0,22.69687368,,,,,RUE,2.3,5.227272727,2.927272727
Foggia,2005,1,165,5,28.9,13.5,0,0,13.01,490.64,0.643590041,4.714880184,3.034449933,10.18396404,30.61115035,4.480944177,13.46890615,0.655290373,2.936319581,1.544624597,34.01238928,,,,,gammasug,0.42,gC g,
Foggia,2005,1,166,6,30.9,15.7,7,0,14.97,505.61,0.679205541,5.204762979,3.535103856,12.24105434,42.85220469,5.386063912,18.85497007,0.532614858,2.868697667,2.517366245,47.61356077,,,,,WaterContent,0.9,,
Foggia,2005,1,167,7,25.4,15.6,0.1,0,12.19,517.8,0.707096917,3.630465893,2.56709124,6.995620988,49.84782568,3.078073235,21.9330433,0.20259469,0.623601292,2.454471942,55.38647298,,,,,,,,
Foggia,2005,1,168,8,28.5,16.6,0,0,14.37,532.17,0.736612619,4.441854042,3.271925739,8.857230167,58.70505585,3.897181273,25.83022457,0.223557727,0.871244986,3.025936288,65.22783983,,,,,,,,
Foggia,2005,1,169,9,29.9,16.7,0,0,14.97,547.14,0.763468455,4.8549798,3.706623925,9.096976393,67.80203224,4.002669613,29.83289419,0.190578152,0.762821378,3.239848235,75.33559138,,,,,,,,
Foggia,2005,1,170,10,30,15.7,0,0,14.63,561.77,0.786026475,4.944034883,3.886142309,8.390561145,76.19259339,3.691846904,33.52474109,0.145685929,0.537850145,3.153996758,84.6584371,,,,,,,,
Foggia,2005,1,171,11,28,13.7,0,20.02,12.61,574.38,0.802673364,4.4698719,3.587847115,8.861777941,85.05437133,3.899182294,37.42392338,0.135115176,0.526838702,3.372343592,94.50485703,,,,,,,,
Foggia,2005,1,172,12,28.6,13.5,0,0,12.84,587.22,0.823029859,4.641039377,3.819713982,8.593979559,93.64835089,3.781351006,41.20527439,0.113691311,0.429906753,3.351444253,104.0537232,,,,,,,,
Foggia,2005,1,173,13,31.4,12.4,0,0,13.76,600.98,0.841609124,5.436152753,4.575115758,9.621471898,103.2698228,4.233447635,45.43872203,0.116056049,0.491317205,3.74213043,114.7442475,,,,,,,,
Foggia,2005,1,174,14,36.1,11.5,0,0,15.31,616.29,0.858786124,6.791272588,5.832250666,8.878191536,112.1480143,3.906404276,49.3451263,0.09299679,0.36328306,3.543121216,124.6089048,,,,,,,,
Foggia,2005,1,175,15,35.5,16.2,0,0,16,632.29,0.873178659,6.621796156,5.78201109,8.862537544,121.0105519,3.899516519,53.24464282,0.083657056,0.326222072,3.573294447,134.4561687,,,,,,,,
Foggia,2005,1,176,16,35.8,17.3,0,0,15.95,648.24,0.884570196,6.691070061,5.918721152,7.283400991,128.2939529,3.204696436,56.44933926,0.059166695,0.189611298,3.015085138,142.5488365,,,,,,,,
Foggia,2005,1,177,17,36.6,18.3,0,0,15.66,663.9,0.893380458,6.925457696,6.187068566,5.183677695,133.4776306,2.280818186,58.73015744,0.0353033,0.08052041,2.200297776,148.3084784,,,,,,,,
Foggia,2005,1,178,18,32.6,20.1,0,24.89,15.98,679.88,0.900387088,5.44660049,4.904048754,9.286699434,142.76433,4.086147751,62.81630519,0.071198668,0.290928277,3.795219474,158.6270333,,,,,,,,
Foggia,2005,1,179,19,36.6,22.2,0,0,14.02,693.9,0.908441235,6.678575514,6.067093391,5.650656322,148.4149863,2.486288782,65.30259397,0.034364334,0.085439659,2.400849123,164.9055403,,,,,,,,
Foggia,2005,1,180,20,39.9,19.4,0,0,13.71,707.61,0.914676359,8.048859197,7.362101222,0.169820328,148.5848066,0.074720944,65.37731492,0.000291987,2.18176E-05,0.074699127,165.0942296,,,,,,,,
Foggia,2005,1,181,21,39.3,21.4,0,0,12.68,720.29,0.919171496,7.739995127,7.114382898,0.912451509,149.4972581,0.401478664,65.77879358,0.002850016,0.001144221,0.400334443,166.1080646,,,,,,,,
Foggia,2005,1,182,22,36,23.4,0,0,13.64,733.93,0.922950614,6.315301227,5.828711143,4.131953871,153.629212,1.818059703,67.59685329,0.021420532,0.038943805,1.779115898,170.6991245,,,,,,,,
Foggia,2005,1,183,23,28,18.4,0,0,14.9,748.83,0.926190441,4.103616738,3.800730596,3.885999313,157.5152113,1.709839698,69.30669298,0.019047075,0.032567444,1.677272254,175.0169015,,,,,,,,
Foggia,2005,1,184,24,28,18,2,0,14.75,763.58,0.928756083,4.144021382,3.848785068,3.778370536,161.2935819,1.662483036,70.96917602,0.017751626,0.029511777,1.632971259,179.215091,,,,,,,,
Foggia,2005,1,185,25,29.3,16,0,25.33,14.46,778.04,0.930885923,4.693212233,4.3688452,6.663807358,167.9573892,2.932075237,73.90125126,0.036345856,0.106568784,2.825506454,186.6193214,,,,,,,,
Foggia,2005,1,186,26,35.7,14.1,0,0,15.82,793.86,0.934075047,6.658508282,6.219546439,7.453442688,175.4108319,3.279514783,77.18076604,0.039898069,0.130846307,3.148668475,194.9009243,,,,,,,,
Foggia,2005,1,187,27,29.7,20.9,0,0,15.93,809.79,0.936525324,4.325495202,4.050935794,5.129841326,180.5406732,2.257130183,79.43789622,0.023081416,0.052097762,2.205032422,200.600748,,,,,,,,
