"","site","year","experiment","doy","tMax","tMin","p","irrigation","gddRate","gddState","phenoCode","phenoStage","rootRate","rootState","ftsw","trc1","ev1","dc1","wc1mm","daysNoRain","trc2","dc2","wc2mm","dc3","wc3mm","wc1","wc2","wc3","waterStress","heatStress","coldStress","fIntPot","fIntAct","kc","et0","etR","radiation","carbonRateIde","carbonStateIde","carbonRatePot","carbonStatePot","carbonRateAct","carbonStateAct","floweringRateIde","floweringStateIde","floweringRateAct","floweringStateAct","cycleCompletion","fruitSetCoefficient","fruitsStateIde","fruitsStatePot","fruitsStateAct","kt","carbonSugarRate","carbonSugarState","fruitWaterContentPot","fruitWaterContentPotRate","fruitWaterContentSensitivity","fruitWaterContentAct","fruitFreshWeightPot","fruitFreshWeightAct","brixPot","brixAct","swc_sim","swc_sim_2","month","day","swc","date"
"1","Foggia",2005,1,118,27.7,7.2,0,27.9,9.21,9.21,0,"post-transplanting",0.614291691442266,6.61429169144227,1,0.661607023055475,4.80669191650861,22.4317010604359,11.31,0,0.797080255476419,32.7130328372858,13.6258796767373,32.9446208049595,201.264120323263,0.377,0.377,0.377,1,0,0.28,0.00300840083024569,0.00300840083024569,0.302557140705709,4.82119600657758,1.45868727853189,28.4826686062349,0.0605325345340434,0.0605325345340434,0.0435834248645112,0.0435834248645112,0.0435834248645112,0.0435834248645112,0,0,0,0,0.614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.377000000000001,NA,NA,NA,NA
"2","Foggia",2005,1,119,23.6,10.4,0,0,8.61,17.82,0,"post-transplanting",0.573829242893737,7.188120934336,1,0.487182155010629,1.58194164914677,0,9.2408761958426,1,0.680125927411648,0,14.8706077124386,0.23848228259655,199.100784077553,0.308029206528087,0.355066339907307,0.377,1,0,0,0.00488596121552423,0.00488596121552423,0.304153067033196,3.83789679916289,1.16730808242228,22.9667243800481,0.0740507720260792,0.134583306560123,0.0740507720260792,0.11763419689059,0.0740507720260792,0.11763419689059,0,0,0,0,1.188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372020446643057,0.372020446643057,NA,NA,NA,NA
"3","Foggia",2005,1,120,23.2,8.8,0,0,7.21,25.03,0,"post-transplanting",0.480666204345594,7.6687871386816,0.757021653287715,0.467276559860517,1.23531672145901,0,7.53828291452307,2,0.727204930961388,0,15.7384197508903,0.217094620969704,197.28867248717,0.251276097150769,0.3370986785946,0.377,0.999529797786284,0,0.12,0.00645822722921276,0.00645822722921276,0.305489493144831,3.91189690543256,1.19504340287542,24.1021458744476,0.0860419927709328,0.220625299331055,0.0757169536384209,0.193351150529011,0.0756813513592042,0.193315548249795,0,0,0,0,1.66866666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36760895858764,0.367608958587639,NA,NA,NA,NA
"4","Foggia",2005,1,121,27.6,7.4,0,0,9.28,34.31,0,"post-transplanting",0.618718433538229,8.28750557221983,0.572480130573539,0.538875665591713,1.29154516175937,0,6.33,3,0.949769361516617,0,16.8230860293087,0.298132854504161,194.956103992731,0.211,0.31816677636608,0.377,0.996781252048854,0,0.26,0.00848189277803795,0.00848189277803795,0.307209608861332,4.8613455758874,1.49345207290814,28.6791845942933,0.173081429323821,0.393706728654876,0.128080257699628,0.321431408228639,0.127667999632575,0.320983547882369,0,0,0,0,2.28733333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3635153167034,0.363515316703399,NA,NA,NA,NA
"5","Foggia",2005,1,122,29.4,8.8,0,0,11.27,45.58,0,"post-transplanting",0.751315457758369,9.03882102997819,0.431312902935789,0.522142688534026,1.2036416211825,0,6.33,4,1.05104208272288,0,18.2132695218206,0.391233700514249,192.123644716982,0.211,0.301603068403674,0.377,0.986653212669144,0,0.12,0.0109395124693375,0.0109395124693375,0.309298585598937,5.15510203082401,1.59446576675207,29.0934958785664,0.274988189387091,0.668694918041967,0.24198960666064,0.563421014889279,0.238759822844263,0.559743370726632,0,0,0,0,3.03866666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361111523731338,0.361111523731338,NA,NA,NA,NA
"6","Foggia",2005,1,123,32,10.8,0,0,13.52,59.1,0,"post-transplanting",0.901071589608728,9.93989261958692,0.381070979111661,0.513545717624012,1.17441694955677,0,6.33,5,1.18798404518645,0,19.91057144241,0.511753927048971,188.726604824157,0.211,0.286900281226472,0.377,0.977911933178871,0,0,0.0138877838292639,0.0138877838292639,0.311804616254874,5.58029635429865,1.73996216334056,29.6453243822116,0.426624990688529,1.0953199087305,0.426624990688529,0.990046005577807,0.417201669386637,0.976945040113269,0,0,0,0,3.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358278627110946,0.358278627110945,NA,NA,NA,NA
"7","Foggia",2005,1,124,30.1,12.2,0,0,13.31,72.41,0,"post-transplanting",0.88761613029622,10.8275087498831,0.330544789349355,0.429245086009496,0.987414977235614,0,6.33,6,1.11997322219456,0,21.5825445311815,0.554366500250751,185.380292012941,0.211,0.275726865607192,0.377,0.963360958341119,0,0,0.0167902610334517,0.0167902610334517,0.314271721878434,5.11703366006449,1.60813897925837,27.3587229706914,0.46889574975502,1.56421565848552,0.46889574975502,1.45894175533283,0.451715858846074,1.42866089895934,0,0,0,0,4.82733333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35548806090687,0.355488060906871,NA,NA,NA,NA
"8","Foggia",2005,1,125,24.8,13.5,0,20,11.33,83.74,0,"post-transplanting",0.755133989915035,11.5826427397982,0.288928154011302,0.299746387355354,3.79863675529557,10.9216168573491,11.31,0,0.857538718405388,1.62317553374184,32.3565631290391,2.13691468306573,182.533436870961,0.377,0.377,0.377,0.944426720668641,0,0,0.019260964769248,0.019260964769248,0.316371820053861,3.87323907669466,1.22538369619763,21.8295544714929,0.365127689010537,1.92934334749605,0.365127689010537,1.82406944434337,0.344836345957541,1.77349724491688,0,0,0,0,5.58266666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.377,NA,NA,NA,NA
"9","Foggia",2005,1,126,17.2,12.1,1.2,0,5.27,89.01,0,"post-transplanting",0.351242414829132,11.9338851546273,1,0.183057871859777,0.931066985066875,0.0858751430733466,11.31,1,0.545139334615245,0,32.9658570233908,0.25562581801222,181.209252967055,0.377,0.368997994185275,0.377,1,0,0,0.0204101800108761,0.0204101800108761,0.317348653009245,2.29462831989336,0.728197206475022,14.725927507482,0.121404361141389,2.05074770863744,0.121404361141389,1.94547380548475,0.121404361141389,1.89490160605827,0,0,0,0,5.934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375808516650743,0.375808516650743,NA,NA,NA,NA
"10","Foggia",2005,1,127,23.5,10.4,0,0,8.54,97.55,0,"post-transplanting",0.569268986816361,12.5031541414437,0.96336139220157,0.302586815970041,1.22877793356094,0,9.77863525046902,2,0.958509717777317,0,33.7266274362519,0.426863949659264,179.063108886757,0.325954508348967,0.354899299056601,0.377,1,0,0,0.0222724756775751,0.0222724756775751,0.318931604325939,3.95412846090522,1.26109653374736,23.6963237980867,0.345513351187321,2.39626105982476,0.345513351187321,2.29098715667207,0.345513351187321,2.24041495724559,0,0,0,0,6.50333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370947285955797,0.370947285955797,NA,NA,NA,NA
