"","site","year","experiment","doy","tMax","tMin","p","irrigation","gddRate","gddState","phenoCode","phenoStage","rootRate","rootState","ftsw","trc1","ev1","dc1","wc1mm","daysNoRain","trc2","dc2","wc2mm","dc3","wc3mm","wc1","wc2","wc3","waterStress","heatStress","coldStress","fIntPot","fIntAct","kc","et0","etR","radiation","carbonRateIde","carbonStateIde","carbonRatePot","carbonStatePot","carbonRateAct","carbonStateAct","floweringRateIde","floweringStateIde","floweringRateAct","floweringStateAct","cycleCompletion","fruitSetCoefficient","fruitsStateIde","fruitsStatePot","fruitsStateAct","kt","carbonSugarRate","carbonSugarState","fruitWaterContentPot","fruitWaterContentPotRate","fruitWaterContentSensitivity","fruitWaterContentAct","fruitFreshWeightPot","fruitFreshWeightAct","brixPot","brixAct","swc_sim","swc_sim_2","month","day","swc","date"
"1","Foggia",2005,1,118,27.7,7.2,0,27.9,9.21,9.21,0,"post-transplanting",0.307145845721133,6.30714584572113,1,0.693826009836838,4.80669191650861,22.3994820736545,11.31,0,0.764861268695056,32.8288268211226,12.4679398383687,32.9446208049595,202.422060161631,0.377,0.377,0.377,1,0,0.28,0.00300840083024569,0.00300840083024569,0.302557140705709,4.82119600657758,1.45868727853189,28.4826686062349,0.0605325345340434,0.0605325345340434,0.0435834248645112,0.0435834248645112,0.0435834248645112,0.0435834248645112,0,0,0,0,0.614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.377,NA,NA,NA,NA
"2","Foggia",2005,1,119,23.6,10.4,0,0,8.61,17.82,0,"post-transplanting",0.286914621446869,6.594060467168,1,0.531072510587824,1.58194164914677,0,9.1969858402654,1,0.636235571834453,0,12.7996684125971,0.113703976791896,201.340392038777,0.306566194675513,0.356133919546511,0.377,1,0,0,0.00488596121552423,0.00488596121552423,0.304153067033196,3.83789679916289,1.16730808242228,22.9667243800481,0.0740507720260792,0.134583306560123,0.0740507720260792,0.11763419689059,0.0740507720260792,0.11763419689059,0,0,0,0,1.188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372228410486065,0.372228410486066,NA,NA,NA,NA
"3","Foggia",2005,1,120,23.2,8.8,0,0,7.21,25.03,0,"post-transplanting",0.240333102172797,6.8343935693408,0.743228043759657,0.515282135756279,1.23531672145901,0,7.44638698305011,2,0.65859816924669,0,12.9475495935398,0.0995764450019578,200.434336243585,0.248212899435004,0.33766876976496,0.377,0.982290937867584,0,0.12,0.00645822722921276,0.00645822722921276,0.305489493144831,3.91189690543256,1.19504340287542,24.1021458744476,0.0860419927709328,0.220625299331055,0.0757169536384209,0.193351150529011,0.0743760774019609,0.192010274292551,0,0,0,0,1.66866666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368047121366959,0.368047121366958,NA,NA,NA,NA
"4","Foggia",2005,1,121,27.6,7.4,0,0,9.28,34.31,0,"post-transplanting",0.309359216769115,7.14375278610991,0.536759124842611,0.588297212992633,1.29154516175937,0,6.33,3,0.812586071799641,0,13.1684003429727,0.132847425987052,199.268051996366,0.211,0.317789236537322,0.377,0.938016900712717,0,0.26,0.00848189277803795,0.00848189277803795,0.307209608861332,4.8613455758874,1.49345207290814,28.6791845942933,0.173081429323821,0.393706728654876,0.128080257699628,0.321431408228639,0.120141446369891,0.312151720662442,0,0,0,0,2.28733333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364610753898897,0.364610753898898,NA,NA,NA,NA
"5","Foggia",2005,1,122,29.4,8.8,0,0,11.27,45.58,0,"post-transplanting",0.375657728879184,7.5194105149891,0.386649443962294,0.547795730580759,1.2036416211825,0,6.33,4,0.825237928284272,0,13.5907721455407,0.168619907022304,197.851822358491,0.211,0.300720018694152,0.377,0.861124576955892,0,0.12,0.0109395124693375,0.0109395124693375,0.309298585598937,5.15510203082401,1.59446576675207,29.0934958785664,0.274988189387091,0.668694918041967,0.24198960666064,0.563421014889279,0.208383197663366,0.520534918325808,0,0,0,0,3.03866666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362954324173386,0.362954324173386,NA,NA,NA,NA
"6","Foggia",2005,1,123,32,10.8,0,0,13.52,59.1,0,"post-transplanting",0.450535794804364,7.96994630979346,0.337036990892668,0.5371317459843,1.17441694955677,0,6.33,5,0.889838646275864,0,14.1865889665944,0.212864479082896,196.153302412079,0.211,0.285447529657195,0.377,0.82011576017292,0,0,0.0138877838292639,0.0138877838292639,0.311804616254874,5.58029635429865,1.73996216334056,29.6453243822116,0.426624990688529,1.0953199087305,0.426624990688529,0.990046005577807,0.349881878547288,0.870416796873096,0,0,0,0,3.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361116485631122,0.361116485631122,NA,NA,NA,NA
"7","Foggia",2005,1,124,30.1,12.2,0,0,13.31,72.41,0,"post-transplanting",0.44380806514811,8.41375437494157,0.288569828729288,0.440900196134677,0.987414977235614,0,6.33,6,0.795641788578901,0,14.8418541382808,0.222249445343067,194.48014600647,0.211,0.27415085928129,0.377,0.76892731328721,0,0,0.0167902610334517,0.0167902610334517,0.314271721878434,5.11703366006449,1.60813897925837,27.3587229706914,0.46889574975502,1.56421565848552,0.46889574975502,1.45894175533283,0.36054674907092,1.23096354594402,0,0,0,0,4.82733333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359420000241252,0.359420000241251,NA,NA,NA,NA
"8","Foggia",2005,1,125,24.8,13.5,0,20,11.33,83.74,0,"post-transplanting",0.377566994957517,8.79132136989909,0.250607858533261,0.30074284926055,3.79863675529557,10.9206203954439,11.31,0,0.580566163255655,4.57244821105878,21.8332815645196,4.77205437693925,193.05671843548,0.377,0.377,0.377,0.719210656426157,0,0,0.019260964769248,0.019260964769248,0.316371820053861,3.87323907669466,1.22538369619763,21.8295544714929,0.365127689010537,1.92934334749605,0.365127689010537,1.82406944434337,0.262603724892635,1.49356727083665,0,0,0,0,5.58266666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0.376999999999999,NA,NA,NA,NA
"9","Foggia",2005,1,126,17.2,12.1,1.2,0,5.27,89.01,0,"post-transplanting",0.175621207414566,8.96694257731365,1,0.243627256513505,0.931066985066875,0.0253057584196181,11.31,1,0.484569949961517,0,21.9390982728299,0.0970110521006973,192.394626483528,0.377,0.367677382320427,0.377,1,0,0,0.0204101800108761,0.0204101800108761,0.317348653009245,2.29462831989336,0.728197206475022,14.725927507482,0.121404361141389,2.05074770863744,0.121404361141389,1.94547380548475,0.121404361141389,1.61497163197804,0,0,0,0,5.934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376072874593929,0.37607287459393,NA,NA,NA,NA
"10","Foggia",2005,1,127,23.5,10.4,0,0,8.54,97.55,0,"post-transplanting",0.28463449340818,9.25157707072183,0.96205071439966,0.408934560272424,1.22877793356094,0,9.67228750616664,2,0.852161973474934,0,21.9996387500815,0.16036958942226,191.321554443379,0.322409583538888,0.351905423242928,0.377,1,0,0,0.0222724756775751,0.0222724756775751,0.318931604325939,3.95412846090522,1.26109653374736,23.6963237980867,0.345513351187321,2.39626105982476,0.345513351187321,2.29098715667207,0.345513351187321,1.96048498316536,0,0,0,0,6.50333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371655801166045,0.371655801166045,NA,NA,NA,NA
"11","Foggia",2005,1,128,25,10.3,0,0,9.48,107.03,0,"post-transplanting",0.315954647249807,9.56753171797164,0.79311260896141,0.426057531835808,1.12147641247687,0,8.12475356185396,3,0.93271545133746,0,22.0744055361681,0.183666782707746,190.130405423247,0.270825118728465,0.336114182376354,0.377,0.987697694955761,0,0,0.024339754708056,0.024339754708056,0.320688791501848,4.28982012032411,1.37569723014705,25.2004242611424,0.445734893364641,2.8419959531894,0.445734893364641,2.73672205003672,0.440251326737608,2.40073630990297,0,0,0,0,7.13533333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367215940868782,0.367215940868782,NA,NA,NA,NA
"12","Foggia",2005,1,129,26.7,8.2,0,0,9.21,116.24,0,"post-transplanting",0.307145845721133,9.87467756369277,0.63421013536799,0.453813376486936,1.10410441990678,0,6.56683576546025,4,1.03994021247947,0,22.0077613932057,0.184643768851572,188.972465584878,0.218894525515342,0.320127906935378,0.377,0.96453952734159,0,0.18,0.0263481555383017,0.0263481555383017,0.322395932207556,4.80362811777847,1.54867016500962,28.3788810078686,0.528223802501847,3.37021975569125,0.433143518051514,3.16986556808823,0.417784044172481,2.81852035407545,0,0,0,0,7.74933333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362578437905907,0.362578437905907,NA,NA,NA,NA
"13","Foggia",2005,1,130,23.4,9.1,0,10.5,7.56,123.8,0,"post-transplanting",0.252147353268712,10.1268249169615,0.476736363004184,0.358978788967066,3.98010092834901,1.41775604814417,11.31,0,0.852792992623716,0,23.3668728993577,0.156447071191565,188.021870063055,0.377,0.32787213340608,0.377,0.913947681103705,0,0.0900000000000001,0.0279967451448877,0.0279967451448877,0.323797233373155,4.09474032979682,1.32586559016969,25.0434559083756,0.406615615929037,3.77683537162029,0.370020210495423,3.53988577858365,0.338179113343797,3.15669946741925,0,0,0,0,8.25333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371164571604022,0.371164571604021,NA,NA,NA,NA
"14","Foggia",2005,1,131,25.5,10.2,0,0,9.74,133.54,0,"post-transplanting",0.324639772427684,10.4514646893892,0.788999100270757,0.410678330853138,1.78797809036355,0,9.11134357878331,1,1.02005169368315,0,23.3641441574862,0.206568990240754,186.797978121003,0.30371145262611,0.313551028306643,0.377,0.987301078917738,0,0,0.0301207217015211,0.0301207217015211,0.325602613446293,4.45061674330691,1.44913244306856,25.9983432480691,0.584710116643629,4.36154548826392,0.584710116643629,4.12459589522728,0.577284929016371,3.73398439643562,0,0,0,0,8.90266666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365455776428787,0.365455776428788,NA,NA,NA,NA
"15","Foggia",2005,1,132,21.5,13.1,0.2,0,9.01,142.55,1,"vegetative",0.300462773845058,10.7519274632342,0.601238508815616,0.286077085413683,1.00049946279591,0,8.02476703057371,2,0.739216271673446,0,23.5603585300608,0.197314013147803,185.665233463607,0.267492234352457,0.303929037543278,0.377,0.956968289220184,0,0,0.0339543989727184,0.0339057154075966,0.328819858096457,3.25831118364286,1.07139742103954,19.3317180624964,0.453612494461897,4.81515798272581,0.453612494461897,4.57820838968918,0.433470373799786,4.1674547702354,0,0,0,0,9.50333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362083931707069,0.362083931707069,NA,NA,NA,NA
"16","Foggia",2005,1,133,25.4,10.5,0,0,9.87,152.42,1,"vegetative",0.328933565072417,11.0808610283066,0.500387010283256,0.36962430261575,1.14218844317579,0,6.51295428478217,3,0.995627540707545,0,23.5825897752397,0.222220754436506,184.425153923284,0.217098476159406,0.29183263630734,0.377,0.924301581555193,0,0,0.0391420139857628,0.0388700984717627,0.333039583700998,4.43509799765065,1.4770631908107,25.8352212030979,0.765052749388511,5.58021073211433,0.765052749388511,5.34326113907769,0.702227041657646,4.86968181189305,0,0,0,0,10.1613333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357534496638843,0.357534496638843,NA,NA,NA,NA
"17","Foggia",2005,1,134,26,9.3,0,0,9.48,161.9,1,"vegetative",0.315954647249807,11.3968156755565,0.368435283355368,0.351627711591233,1.05412159200269,0,6.33,4,0.984184360216437,0,23.5695718225536,0.219982612601456,183.234004903152,0.211,0.280696548944927,0.377,0.847236485468829,0,0.07,0.0448317312277068,0.0441291131170934,0.337509746149529,4.67147894297222,1.57666967218542,27.4424679795194,0.894048872292749,6.47425960440707,0.831465451232257,6.17472659030995,0.693407520588454,5.5630893324815,0,0,0,0,10.7933333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355222627876176,0.355222627876176,NA,NA,NA,NA
"18","Foggia",2005,1,135,27.9,13.2,0,0,12.79,174.69,1,"vegetative",0.426166838051013,11.8229825136075,0.313322481549616,0.33069859954231,0.962710085697821,0,6.33,5,0.972582653678758,0,23.8984601104249,0.305178037902266,181.6273559237,0.211,0.270866003344865,0.377,0.796616409451046,0,0,0.0537591045755967,0.0516927095368277,0.343938803106304,4.75672149713468,1.63602109843452,25.8301760568004,1.36109011846835,7.83534972287543,1.36109011846835,7.5358167087783,1.04258962683318,6.60567895931468,0,0,0,0,11.646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353093026723541,0.353093026723541,NA,NA,NA,NA
"19","Foggia",2005,1,136,29.9,12.2,0.1,0,13.23,187.92,1,"vegetative",0.441012338709191,12.2639948523167,0.272419707991678,0.341437441874415,0.978107873320399,0,6.33,6,1.05435823463758,0,24.1791002926119,0.327618100109049,179.964739406766,0.211,0.261000795856071,0.377,0.748923477887792,0,0,0.0647295448327452,0.0604319422645745,0.351367150924888,5.30424097563052,1.86373603942634,28.432643067569,1.86680245206536,9.70215217494079,1.86680245206536,9.40261916084366,1.30526835031159,7.91094730962627,0,0,0,0,12.528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350789732832297,0.350789732832296,NA,NA,NA,NA
"20","Foggia",2005,1,137,28.1,11.9,0,10.5,12.25,200.17,1,"vegetative",0.408248290463863,12.6722431427805,0.229901887674311,0.289500644195399,4.60872058667294,0.621778769131664,11.31,0,0.933373540216497,0,25.0920104749702,0.314591101605657,178.425643351717,0.377,0.259422867111226,0.377,0.687842509035672,0,0,0.0766979652557615,0.0693953733126032,0.358986067315713,4.9523938034547,1.77784037530091,27.284021417181,1.96491801836402,11.6670701933048,1.96491801836402,11.3675371792077,1.22286952164787,9.13381683127415,0,0,0,0,13.3446666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358046089711146,0.358046089711145,NA,NA,NA,NA
"21","Foggia",2005,1,138,26.8,14.6,0,0,12.92,213.09,1,"vegetative",0.430769374637898,13.1030125174184,0.453871912648275,0.333566798890411,1.67381400181073,0,9.30261919929886,1,1.12334318152834,0,25.2496723402083,0.342995495618482,176.801642809333,0.310087306643295,0.249922211782632,0.377,0.902704005552691,0,0,0.0914693407132565,0.0795557532691945,0.367622390278815,4.39021100779749,1.61393986451488,23.7470504512683,2.15207736388819,13.819147557193,2.15207736388819,13.5196145430959,1.68965988114264,10.8234767124168,0,0,0,0,14.206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352256557248066,0.352256557248067,NA,NA,NA,NA
"22","Foggia",2005,1,139,20.7,13.2,0.4,0,8.54,221.63,1,"vegetative",0.28463449340818,13.3876470108266,0.315689385120882,0.209862628994968,0.901599147640208,0,8.59115742266368,2,0.726659636921264,0,25.3617434705331,0.234341272902697,175.728570769184,0.286371914088789,0.244152919752661,0.377,0.799088977785089,0,0,0.102576359530565,0.0895821036453279,0.376144788098529,3.11578812932886,1.17198746566631,18.6723130340355,1.25389383236271,15.0730413895557,1.25389383236271,14.7735083754586,0.875043980140955,11.6985206925577,0,0,0,0,14.7753333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349469119437301,0.349469119437301,NA,NA,NA,NA
"23","Foggia",2005,1,140,20.9,8.8,0.1,0,5.56,227.19,1,"vegetative",0.185234029436663,13.5728810402633,0.255930968949892,0.228489490231624,0.903327803751497,0,7.55934012868056,3,0.805264066389784,0,25.0989945916554,0.155817103464187,175.030238478207,0.251978004289352,0.237390305405635,0.377,0.726763611645342,0,0.12,0.110427221457871,0.0958556408775512,0.381477294745918,3.72868029919724,1.42240687351017,23.7824708210666,1.11887540522208,16.1919167947778,0.984610356595428,15.758118732054,0.621153740065097,12.3196744326228,0,0,0,0,15.146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346147621997572,0.346147621997572,NA,NA,NA,NA
"24","Foggia",2005,1,141,25.5,7.2,0,0,7.71,234.9,1,"vegetative",0.256845842225034,13.8297268824883,0.178040528565557,0.240643471883127,1.01673640578089,0,6.33,4,0.868701025516006,0,24.9795567164191,0.219045674908642,174.061929653019,0.211,0.23065731008241,0.377,0.593425927708382,0,0.28,0.122168095596394,0.104388480970337,0.388730208824786,4.80896509097269,1.86939000404492,29.3255338270882,2.11643096208061,18.3083477568584,1.52383029269804,17.281949024752,0.772676838419397,13.0923512710422,0,0,0,0,15.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34228581061573,0.34228581061573,NA,NA,NA,NA
"25","Foggia",2005,1,142,32.2,6.9,0,0,11.77,246.67,1,"vegetative",0.392434026936907,14.2221609094252,0.0934387250673879,0.195987733558817,1.16945173001531,0,6.33,5,0.7331352940902,0,25.384885155498,0.341012548383048,172.582453371467,0.211,0.226203182795016,0.377,0.375773217730745,0,0.31,0.142114051845009,0.116224928561202,0.398791189277022,6.20014499068272,2.47256319452433,34.5697508516647,4.4343274927204,22.7426752495788,3.05968596997707,20.3416349947291,0.940296771018417,14.0326480420607,0,0,0,0,16.4446666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340495564211608,0.340495564211608,NA,NA,NA,NA
"26","Foggia",2005,1,143,32.6,9.4,0,0,13.19,259.86,1,"vegetative",0.439592403803207,14.6617533132284,0.0728457755587375,0.158218303628049,1.0608591187983,0,6.33,6,0.615034275515927,0,26.0342831388457,0.392831103474492,170.925190009129,0.211,0.223245016761878,0.377,0.307338663848813,0,0.0599999999999999,0.167543523103838,0.125780642801324,0.406913546381125,6.18303963409202,2.51596258492344,33.1860310257645,5.6216133723778,28.3642886219566,5.28431657003514,25.6259515647643,1.21924839445287,15.2518964365135,0,0,0,0,17.324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338815788579958,0.338815788579958,NA,NA,NA,NA
"27","Foggia",2005,1,144,22.7,14.6,0,15.8,10.74,270.6,1,"vegetative",0.357993411476268,15.0197467247047,0.0590315250434014,0.0730230627643771,2.98306776825028,7.76390916898534,11.31,0,0.292572906496675,0,34.5254542659776,0.329800296622238,169.575554847863,0.377,0.287239449022799,0.377,0.257319565834835,0,0,0.190758004462977,0.132915350484185,0.412978047911557,3.44034203571248,1.42078573805661,19.6557264454629,3.08727090353998,31.4515595254966,3.08727090353998,28.7132224683042,0.553528415055434,15.805424851569,0,0,0,0,18.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359018348523068,0.359018348523068,NA,NA,NA,NA
"28","Foggia",2005,1,145,25.2,15.1,0,0,12.4,283,1,"vegetative",0.413293554941581,15.4330402796463,0.564384551834872,0.30952274747642,1.42717293811271,0,9.57330431441087,1,1.2827695956137,0,34.410759401935,0.390041970558713,168.017438145734,0.319110143813696,0.276768663399794,0.377,0.946888640527072,0,0,0.220410838170367,0.140545604779543,0.419463764062612,4.0089390224827,1.68160465226808,21.9989868625039,4.60916330046621,36.0607228259628,4.60916330046621,33.3223857687704,2.78294949181701,18.588374343386,0,0,0,0,18.8666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353335836436799,0.3533358364368,NA,NA,NA,NA
