MDATE ,TMAX,TMIN,RH,RAIN,Rg,ET0
1/1/1951,10,3,61.7,0.3,3,1.2
1/2/1951,14.8,4,48.3,0,5.1,1.7
1/3/1951,10.2,6.4,77.2,42,1.2,0.7
1/4/1951,9.1,6.4,83.2,0,1.2,0.6
1/5/1951,12,4.3,59.2,0,3.2,1.4
1/6/1951,11,6.1,71.7,13.2,2.9,1.1
1/7/1951,9,3.2,66.9,1,2.7,1.1
1/8/1951,12.2,3,53.3,0,4.7,1.5
1/9/1951,11.2,4,61.1,5.6,4,1.3
1/10/1951,12.5,3.1,52.7,1.2,6.1,1.5
1/11/1951,13.1,1,43.6,0,5.8,1.7
1/12/1951,14.3,5.1,53.9,0.5,5,1.6
1/13/1951,15.9,5.5,50,0,6.6,1.8
1/14/1951,14.1,3.9,50.2,0,6,1.7
1/15/1951,12.1,4,57.6,0,5.7,1.4
1/16/1951,11,1,50,0,6.3,1.5
1/17/1951,12.6,0.6,43.7,0,8,1.7
1/18/1951,14.4,-1,34.6,0,9,2
1/19/1951,14.9,0.3,36.8,0,9,2
1/20/1951,11.8,0,44.1,0,4.8,1.7
1/21/1951,15,7,58.7,0,6.9,1.6
1/22/1951,12,1.5,48.5,0,7.8,1.6
1/23/1951,15,-1,33.3,0,8.4,2.1
1/24/1951,16,5,48,0,8.9,1.9
1/25/1951,17,0,31.5,0,8.7,2.3
1/26/1951,13.5,7.1,65.2,7.2,3.7,1.4
1/27/1951,13.3,6.5,63.4,0.8,4.5,1.4
1/28/1951,12.8,5.2,59.8,1.8,5.8,1.5
1/29/1951,11.3,2.8,55.8,3.6,5.9,1.5
1/30/1951,9.8,2.1,58.7,1.7,4.3,1.4
1/31/1951,9.4,3.4,66.1,0.1,3.6,1.2
2/1/1951,9.8,3,62.5,0,2.8,1.3
2/2/1951,10.2,5.8,74.1,16,3.3,1.1
2/3/1951,10.9,3,58.1,0,6.5,1.5
2/4/1951,12.7,0.7,43.8,0,7.1,1.9
2/5/1951,12.6,5,59.8,0,4.6,1.5
2/6/1951,17.5,6,46.8,0,9.1,2.2
2/7/1951,11.9,5,62.6,3,4.7,1.5
2/8/1951,12,4.6,60.5,0.8,6.8,1.5
2/9/1951,12.2,1.3,47.2,0,9.7,1.8
